feature,effect
unemployment_rate,decreases risk
avg_income,increases risk
building_density,increases risk
land_area_density,decreases risk
road_density,decreases risk
log_population,increases risk
distance_km,increases risk
year,decreases risk
week_of_year,increases risk
week_sin,decreases risk
week_cos,increases risk
avg_victim_age_lag1,decreases risk
avg_victim_age_lag2,increases risk
avg_victim_age_roll4,decreases risk
female_victim_ratio_lag1,increases risk
female_victim_ratio_lag2,increases risk
female_victim_ratio_roll4,increases risk
urban_ratio_lag1,increases risk
urban_ratio_lag2,decreases risk
urban_ratio_roll4,decreases risk
holiday_ratio_lag1,increases risk
holiday_ratio_lag2,increases risk
holiday_ratio_roll4,decreases risk
rainy_ratio_lag1,increases risk
rainy_ratio_lag2,decreases risk
rainy_ratio_roll4,decreases risk
total_crimes_lag1,decreases risk
total_crimes_lag2,decreases risk
total_crimes_lag4,decreases risk
total_crimes_roll4,decreases risk
total_crimes_roll8,increases risk
total_crimes_trend_4v8,decreases risk
stabbing_count_lag1,decreases risk
stabbing_count_lag2,decreases risk
stabbing_count_lag4,increases risk
stabbing_count_roll4,decreases risk
stabbing_count_roll8,decreases risk
stabbing_count_trend_4v8,decreases risk
